TotalHands,WinCount,LossCount,TieCount,MaxWinStreak,MaxLossStreak,MaxTieStreak,WinPercentage,LossPercentage,TiePercentage,MaxBet,Bankroll
52,25,19,8,5,7,1,48.08%,36.54%,15.38%,1280,798530
54,29,18,7,6,3,2,53.70%,33.33%,12.96%,80,798820
55,31,23,1,4,4,1,56.36%,41.82%,1.82%,160,799130
57,25,29,3,6,4,1,43.86%,50.88%,5.26%,160,799310
55,25,23,7,5,5,3,45.45%,41.82%,12.73%,320,799550
55,20,30,5,4,3,2,36.36%,54.55%,9.09%,80,799740
54,28,20,6,5,3,1,51.85%,37.04%,11.11%,80,800020
55,17,30,8,2,7,3,30.91%,54.55%,14.55%,1280,800120
54,26,25,3,6,4,1,48.15%,46.30%,5.56%,160,800310
55,24,23,8,6,8,1,43.64%,41.82%,14.55%,2560,800520
51,19,26,6,3,8,2,37.25%,50.98%,11.76%,2560,800700
54,20,31,3,5,11,2,37.04%,57.41%,5.56%,20480,800890
54,25,26,3,7,6,1,46.30%,48.15%,5.56%,640,801130
53,19,26,8,4,7,1,35.85%,49.06%,15.09%,1280,801310
54,24,25,5,6,4,1,44.44%,46.30%,9.26%,160,801540
55,30,22,3,6,4,1,54.55%,40.00%,5.45%,160,801840
53,27,21,5,6,7,1,50.94%,39.62%,9.43%,1280,802110
